EntryDate,EntryPrice,ExitDate,ExitPrice
11-01-2010,5249.4,13-01-2010,5233.95
21-01-2010,5094.15,28-01-2010,4867.25
15-04-2010,5273.6,20-04-2010,5230.1
05-05-2010,5124.9,10-05-2010,5193.6
25-05-2010,4806.75,26-05-2010,4917.4
05-07-2010,5235.9,06-07-2010,5289.05
12-08-2010,5416.45,13-08-2010,5452.1
18-10-2010,6075.95,21-10-2010,6101.5
28-10-2010,5987.7,01-11-2010,6117.55
12-11-2010,6071.65,15-11-2010,6121.6
19-11-2010,5890.3,22-11-2010,6010
25-11-2010,5799.75,29-11-2010,5830
06-12-2010,5992.25,10-12-2010,5857.35
05-01-2011,6079.8,12-01-2011,5863.25
28-01-2011,5512.15,31-01-2011,5505.9
08-02-2011,5312.55,11-02-2011,5310
24-02-2011,5262.7,28-02-2011,5333.25
11-03-2011,5445.45,14-03-2011,5531.5
21-03-2011,5364.75,22-03-2011,5413.85
07-04-2011,5885.7,13-04-2011,5911.5
28-04-2011,5785.45,06-05-2011,5551.45
18-05-2011,5420.6,20-05-2011,5486.35
10-06-2011,5485.8,13-06-2011,5482.8
17-06-2011,5366.4,23-06-2011,5320
05-07-2011,5632.1,06-07-2011,5625.45
12-07-2011,5526.15,13-07-2011,5585.45
28-07-2011,5487.75,29-07-2011,5482
26-08-2011,4747.8,29-08-2011,4919.6
13-09-2011,4940.95,14-09-2011,5012.55
23-09-2011,4867.75,27-09-2011,4971.25
04-10-2011,4772.15,07-10-2011,4888.05
09-11-2011,5221.05,11-11-2011,5168.85
16-11-2011,5030.45,18-11-2011,4905.8
12-12-2011,4764.6,13-12-2011,4800.6
20-12-2011,4544.2,21-12-2011,4693.15
28-12-2011,4705.8,03-01-2012,4765.3
24-02-2012,5429.3,28-02-2012,5375.5
02-03-2012,5359.35,07-03-2012,5220.45
16-03-2012,5317.9,20-03-2012,5274.85
10-04-2012,5243.6,11-04-2012,5226.85
04-05-2012,5086.85,07-05-2012,5114.15
14-05-2012,4907.8,15-05-2012,4942.8
